new_id,Годовая выручка
681,453510890.81415284
682,764334220.6046059
683,1631460189.4973066
684,741757581.9211574
685,302767691.1186538
686,499125695.9104821
687,1551623143.5810776
689,920789083.99902
690,503467331.4559086
691,624405914.8162194
692,511779003.7530918
693,906955041.9944823
695,840414817.6468143
696,459891462.50577605
697,593579631.2972546
698,566621990.9581656
699,839011015.1489178
700,1558572150.9104183
702,602058972.0946853
703,652894005.283528
704,790525285.5417747
705,802672205.6424862
706,871824233.5325
707,680654144.1817192
708,568286121.8137327
709,570198877.0757557
710,1186627469.06156
711,435223027.55844307
712,425087352.05418694
713,1440374467.973113
714,375939506.34413344
715,409105351.8282624
716,389360631.84112906
717,527698465.67728364
718,762745918.2788666
719,1184479166.50985
720,1471936771.4470255
721,1817178192.414751
722,905040290.2655568
723,360381717.8813012
724,402026312.2863321
725,890081136.3086091
726,569189772.8885542
728,469227123.23854125
729,786946756.3134223
730,416750153.8864726
731,504252394.49023616
732,891138261.8462801
733,347296219.20306987
734,387882694.19767225
735,378956995.0369035
736,1065055935.3040489
737,583949613.5213066
738,530700282.8185902
739,478925079.4655646
740,505016400.6908322
741,909686135.4011344
742,1340940240.8601136
743,656818806.2868407
744,785943322.4139162
745,885640569.1114243
746,1881810501.2321467
747,1151721372.4248388
748,518956544.5367217
749,1645977687.68536
750,288562111.2856016
751,665816925.0659188
752,625527268.5588245
753,301562421.06190705
754,526826831.6086729
755,892873718.9463726
757,1154299383.0779138
758,1138614894.7405872
759,674200861.9690596
760,1095360911.5821674
761,587388980.8947811
762,1605007910.3774984
763,810270546.0324277
764,888429123.9290154
767,522493045.34750235
768,718957481.6019822
769,1195426857.8986068
770,923325450.5200763
771,1481943367.3771086
772,1140362320.3792992
773,507935891.9827968
774,570692671.026783
775,492451958.91292727
776,792738117.4318389
777,1048415170.3046932
778,640141105.3014123
779,443400702.92417294
780,352835655.6462599
781,678061928.1260546
782,721515335.0313016
783,1070373856.4839143
784,465533582.1755986
785,581252302.5459203
786,612804604.791293
787,525540547.42906547
788,570468743.0613692
789,433888309.5946941
790,1459666713.007453
791,832721984.1091548
792,679282348.3720276
793,704893646.0411507
794,1061947282.1704254
795,332623850.5999949
796,561455235.6756084
797,287911574.1762268
798,765966431.8839952
799,610155225.6776285
800,935130942.7131218
801,509450400.97256684
802,1076206215.4989612
803,899908778.7905184
804,515001851.7890935
805,1492454184.8597143
806,565118309.1365824
807,538293059.312072
808,578429568.3715601
809,483367258.1690627
810,716235494.403794
812,970671237.2519995
813,443537152.97984135
814,370757870.5892726
815,338790274.9298136
816,1058600257.2211336
817,306266237.77639383
818,615099860.8223907
819,850893326.2659812
820,598456963.7088245
821,527596226.2604784
822,577254543.0380586
823,1863442143.4520957
824,570224974.051947
825,477709127.8058536
826,449103014.0023267
827,820754311.9120215
828,653258751.0668532
829,695087023.2044146
830,1911892246.1925693
831,732389955.6055312
832,1992192365.7178802
833,603675240.3895414
834,621693701.9212402
835,618266126.1332861
836,1392535506.5901105
837,1048511057.6624212
838,714825320.3000644
839,864768619.0954502
840,589557842.5186232
841,659371660.2986708
842,622027563.4612379
843,457336289.4162487
844,478832271.5356625
845,1615516768.5385532
846,434478454.8340638
847,328588229.9113809
848,465712990.6853368
850,811312869.2364544
851,563302207.1805061
852,780837824.5475913
853,575981443.6891644
854,726082442.7522342
855,692607955.3118535
857,976854214.4488294
858,1019483533.3533256
859,663499841.6197168
860,587411636.8527809
861,1210129695.2230756
862,439374888.88517815
863,574565324.1417706
864,410254220.81743884
865,655629179.4023367
866,663404873.737672
867,754332012.2355549
868,1487965361.9839587
869,882716722.2313914
870,670558129.9720893
871,911200470.4354132
872,965269427.6783137
873,870859243.4338628
